CVE Estado,Estado,CVE Municipio,Municipio,Subcategoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
01,Aguascalientes,011,San Francisco de los Romo,Autobús,1.662868571,1.529817143,0.332091429,5.685005714,14.68033143,0.84768,0.017542857
01,Aguascalientes,011,San Francisco de los Romo,Autos particulares,1.434004499,1.268700976,2.549419307,555.1334795,103.3818275,68.25013837,0.853492518
01,Aguascalientes,011,San Francisco de los Romo,Camionetas particulares,0.323166884,0.285887511,0.78984356,153.3704223,30.82453938,17.01184704,0.214435379
01,Aguascalientes,011,San Francisco de los Romo,Combi,0,0,0,0,0,0,0
01,Aguascalientes,011,San Francisco de los Romo,Cruces fronterizos,0,0,0,0,0,0,0
01,Aguascalientes,011,San Francisco de los Romo,Embarcaciones marinas,0,0,0,0,0,0,0
01,Aguascalientes,011,San Francisco de los Romo,Equipos en aeropuertos,0,0,0,0,0,0,0
01,Aguascalientes,011,San Francisco de los Romo,Locomotoras de patio,0,0,0,0,0,0,0
01,Aguascalientes,011,San Francisco de los Romo,Locomotoras de recorrido,1.708669378,1.53490639,0.617823956,6.786410015,68.85841058,2.548523818,0
01,Aguascalientes,011,San Francisco de los Romo,Maquinaria agrícola,4.808818407,4.664553855,0.960016621,28.61538809,37.7468763,4.772774329,0
01,Aguascalientes,011,San Francisco de los Romo,Motocicletas,0.313503148,0.277333456,0.864155536,216.6857876,10.54609624,17.86445668,0.568522866
01,Aguascalientes,011,San Francisco de los Romo,Pickup y Veh<3.8Ton,2.071117618,1.858577462,2.507427061,528.914081,92.62140759,50.6505358,0.67569707
01,Aguascalientes,011,San Francisco de los Romo,Taxi,0.001072416,0.000946801,0.022040778,1.707828451,0.524795875,0.134003281,0.005088352
01,Aguascalientes,011,San Francisco de los Romo,Terminales de autobuses,0,0,0,0,0,0,0
01,Aguascalientes,011,San Francisco de los Romo,Tractocamión,9.541262586,8.777845015,1.301072063,16.05852221,39.95079664,3.001620928,0.091470879
01,Aguascalientes,011,San Francisco de los Romo,Veh>3.8Ton,15.44915066,14.20768349,2.188664992,109.3171939,69.56461301,10.71034327,0.19109222
02,Baja California,001,Ensenada,Autobús,72.28415651,66.50162719,15.81648515,263.0273606,828.0363043,43.95342041,0.829813024
02,Baja California,001,Ensenada,Autos particulares,15.45523851,13.67380708,26.52024811,7814.856251,1379.554321,789.0244598,9.891239195
02,Baja California,001,Ensenada,Camionetas particulares,9.611605211,8.567230055,19.17762749,5248.854891,927.4254612,440.0327678,5.481806154
02,Baja California,001,Ensenada,Combi,3.688884981,3.366325879,4.552474981,546.226833,156.4653514,39.52724533,1.133104108
02,Baja California,001,Ensenada,Cruces fronterizos,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,Embarcaciones marinas,0.131387622,0.131387622,7.888735927,13.73607766,105.1208408,17.06229968,0
02,Baja California,001,Ensenada,Equipos en aeropuertos,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,Locomotoras de patio,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,Locomotoras de recorrido,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,Maquinaria agrícola,21.47858379,20.83422627,5.169839338,121.258596,217.9237486,22.65101263,0
02,Baja California,001,Ensenada,Motocicletas,0.46452148,0.410897696,1.27861481,331.3686102,18.10805437,26.86864028,0.831168654
02,Baja California,001,Ensenada,Pickup y Veh<3.8Ton,14.02439462,12.5990875,22.90740073,5820.522676,1050.227989,473.6185696,6.797268814
02,Baja California,001,Ensenada,Taxi,0.314507153,0.279791822,1.20328026,269.0949263,105.1629406,13.14675679,0.42730266
02,Baja California,001,Ensenada,Terminales de autobuses,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,Tractocamión,79.44064729,73.08495646,9.939715884,108.0061693,335.5376811,24.24066772,0.760315009
02,Baja California,001,Ensenada,Veh>3.8Ton,183.018236,168.3612818,25.33480383,505.7624232,871.6957854,83.7666392,2.097342583
02,Baja California,002,Mexicali,Autobús,45.73300457,42.07449276,10.00683168,166.4131127,523.8850381,27.80861081,0.525009139
02,Baja California,002,Mexicali,Autos particulares,50.64276145,44.80598822,86.90591007,25601.6715,4519.494192,2584.741893,32.4037943
02,Baja California,002,Mexicali,Camionetas particulares,19.95316723,17.78520276,39.80572605,10894.53124,1925.013424,913.3304512,11.3755983
02,Baja California,002,Mexicali,Combi,0.023494352,0.021246008,0.047062246,6.361917985,1.725573517,0.439095494,0.013682157
02,Baja California,002,Mexicali,Cruces fronterizos,0.307852574,0.283373867,0.0261529,32.46190187,9.019339919,5.882851751,0.358680918
02,Baja California,002,Mexicali,Embarcaciones marinas,0,0,0.363777708,0.593103457,4.896833249,0.793403786,0
02,Baja California,002,Mexicali,Equipos en aeropuertos,0,0,0,0,0,0,0
02,Baja California,002,Mexicali,Locomotoras de patio,1.332220304,1.20064299,0.350872837,5.520764799,52.43355962,3.042725386,0
02,Baja California,002,Mexicali,Locomotoras de recorrido,5.504532883,4.944749878,1.990339573,21.86263625,221.8295653,8.21015074,0
02,Baja California,002,Mexicali,Maquinaria agrícola,55.87021795,54.19411141,13.44781637,315.4185702,566.8645312,58.91994671,0
02,Baja California,002,Mexicali,Motocicletas,1.900281496,1.680915354,5.230604331,1355.574856,74.07709252,109.9152185,3.400175197
02,Baja California,002,Mexicali,Pickup y Veh<3.8Ton,31.75219852,28.53273682,51.26315997,13110.54733,2358.524122,1066.563442,15.19555013
02,Baja California,002,Mexicali,Taxi,0.690367662,0.614865362,2.60686163,575.7729774,224.4559439,27.96679041,0.909916909
02,Baja California,002,Mexicali,Terminales de autobuses,0.034430574,0.03168633,0.002302765,1.815631567,0.892500378,0.320557697,0.019741784
02,Baja California,002,Mexicali,Tractocamión,258.2212756,237.5621464,32.30897786,351.0733077,1090.662916,78.79412308,2.471398686
02,Baja California,002,Mexicali,Veh>3.8Ton,254.0304223,233.6857855,35.20729569,709.7008619,1210.313986,116.8035054,2.902338042
02,Baja California,003,Tecate,Autobús,14.19673839,13.06103922,3.106386139,51.65904684,162.6278199,8.632530845,0.162976771
02,Baja California,003,Tecate,Autos particulares,3.798957761,3.361038031,6.518344434,1921.324973,339.1681545,193.9948472,2.431826728
02,Baja California,003,Tecate,Camionetas particulares,2.168412579,1.932746487,4.329571251,1185.098658,209.3877764,99.35074631,1.237414549
02,Baja California,003,Tecate,Combi,0.174860205,0.159743954,0.199620205,23.31106157,6.764045212,1.705936508,0.04792285
02,Baja California,003,Tecate,Cruces fronterizos,0,0,0,0,0,0,0
02,Baja California,003,Tecate,Embarcaciones marinas,0,0,0,0,0,0,0
02,Baja California,003,Tecate,Equipos en aeropuertos,0,0,0,0,0,0,0
02,Baja California,003,Tecate,Locomotoras de patio,0,0,0,0,0,0,0
02,Baja California,003,Tecate,Locomotoras de recorrido,1.8441229,1.656584978,0.666801501,7.324397733,74.31711099,2.75055619,0
02,Baja California,003,Tecate,Maquinaria agrícola,1.628006351,1.57916616,0.391856901,9.191004695,16.51790687,1.716872619,0
02,Baja California,003,Tecate,Motocicletas,0.157678208,0.139476031,0.434015864,112.4805003,6.146638374,9.120351204,0.282133742
02,Baja California,003,Tecate,Pickup y Veh<3.8Ton,4.207238479,3.791426158,6.136177362,1517.658877,276.4952344,123.4877198,1.788337577
02,Baja California,003,Tecate,Taxi,0.092899169,0.082453744,0.364822861,83.55513057,32.80570985,4.12657589,0.133871388
02,Baja California,003,Tecate,Terminales de autobuses,0,0,0,0,0,0,0
02,Baja California,003,Tecate,Tractocamión,20.21270907,18.59558064,2.529040136,27.48085964,85.37349282,6.167743858,0.193452931
02,Baja California,003,Tecate,Veh>3.8Ton,43.22182644,39.7597655,6.023091366,127.9625068,206.5916293,20.28654182,0.496951947
02,Baja California,004,Tijuana,Autobús,150.5287757,138.4868968,32.93717822,547.743634,1724.351464,91.53118583,1.728051409
